artist_name,track_name,album_name,album_release_year,danceability,speechiness,energy,loudness,liveness,valence,acousticness,instrumentalness,key_mode,tempo,time_signature,duration_ms
Smog,Palimpsest,A River Ain't Too Much To Love,2005,0.56,0.0858,0.19,-17.196,0.155,0.294,0.928,0.189,D# minor,137.76,4,172666
Smog,Say Valley Maker,A River Ain't Too Much To Love,2005,0.469,0.0392,0.252,-14.632,0.101,0.299,0.867,0.0748,B major,177.319,3,310120
Smog,The Well,A River Ain't Too Much To Love,2005,0.621,0.0392,0.397,-13.291,0.11,0.295,0.794,0.0348,F# major,128.596,4,420893
Smog,Rock Bottom Riser,A River Ain't Too Much To Love,2005,0.54,0.0353,0.215,-15.667,0.095,0.104,0.929,0.546,B major,158.325,3,344906
Smog,I Feel Like The Mother Of The World,A River Ain't Too Much To Love,2005,0.526,0.0343,0.846,-10.268,0.0913,0.508,0.3,0.354,B major,115.382,4,189186
Smog,In The Pines,A River Ain't Too Much To Love,2005,0.46,0.0352,0.13,-17.25,0.107,0.152,0.879,0.0711,B major,114.771,3,312693
Smog,Drinking At The Dam,A River Ain't Too Much To Love,2005,0.651,0.0438,0.185,-15.254,0.107,0.214,0.952,0.476,F# major,125.913,3,247133
Smog,Running The Loping,A River Ain't Too Much To Love,2005,0.68,0.052,0.13,-17.696,0.104,0.311,0.906,0.544,B major,121.463,3,415786
Smog,I'm New Here,A River Ain't Too Much To Love,2005,0.597,0.0703,0.304,-17.221,0.0948,0.88,0.851,0.108,F# major,92.92,4,239373
Smog,Let Me See The Colts,A River Ain't Too Much To Love,2005,0.517,0.0329,0.386,-11.431,0.113,0.378,0.876,0.0397,B major,122.372,3,399786
Smog,Feather By Feather,Supper,2003,0.438,0.0319,0.355,-12.039,0.107,0.14,0.647,0.425,B major,104.348,3,336400
Smog,Butterflies Drowned In Wine,Supper,2003,0.574,0.0415,0.582,-10.171,0.119,0.413,0.568,0.213,A# major,123.455,4,277893
Smog,Morality,Supper,2003,0.502,0.0274,0.601,-8.905,0.0901,0.869,0.117,0.69,C# major,109.67,4,166666
Smog,Ambition,Supper,2003,0.651,0.027,0.572,-10.958,0.0832,0.645,0.119,0.26,G major,109.851,4,267866
Smog,Vessel In Vain,Supper,2003,0.387,0.0319,0.425,-12.621,0.0752,0.123,0.716,0.00989,B major,131.733,3,259933
