artist_name,track_name,album_name,album_release_year,danceability,speechiness,energy,loudness,liveness,valence,acousticness,instrumentalness,key_mode,tempo,time_signature,duration_ms
Townes Van Zandt,Intro,Somebody Had To Write It,2020,0.679,0.9,0.319,-18.241,0.338,0.961,0.561,0,A# minor,149.612,3,21693
Townes Van Zandt,Waitin' Round To Die (Acoustic Live),Somebody Had To Write It,2020,0.398,0.0622,0.139,-18.056,0.22,0.34,0.898,0,C minor,76.696,3,150133
Townes Van Zandt,Tecumseh Valley (Acoustic Live),Somebody Had To Write It,2020,0.526,0.048,0.0983,-18.431,0.22,0.346,0.831,3.53e-5,C major,79.943,4,251440
Townes Van Zandt,If I Needed You (Acoustic Live),Somebody Had To Write It,2020,0.509,0.0314,0.124,-18.509,0.198,0.24,0.941,1.34e-4,B major,88.896,4,154373
Townes Van Zandt,Pancho & Lefty (Acoustic Live),Somebody Had To Write It,2020,0.529,0.0787,0.176,-17.55,0.273,0.292,0.872,2.31e-6,B minor,79.292,4,218533
Townes Van Zandt,Blaze's Blues (Acoustic Live),Somebody Had To Write It,2020,0.611,0.0316,0.169,-17.101,0.226,0.642,0.623,3.15e-4,A major,94.079,4,186640
Townes Van Zandt,Somebody Had To Write It (Acoustic Live),Somebody Had To Write It,2020,0.666,0.794,0.152,-24.946,0.123,0.411,0.829,4.88e-5,G minor,110.6,5,60960
Townes Van Zandt,Marie (Acoustic Live),Somebody Had To Write It,2020,0.529,0.04,0.0619,-21.174,0.111,0.486,0.928,1.07e-4,A major,133.788,4,301560
Townes Van Zandt,The Hole (Acoustic Live),Somebody Had To Write It,2020,0.63,0.0542,0.137,-19.104,0.302,0.371,0.774,2.36e-4,A# minor,84.704,4,272026
Townes Van Zandt,Cowboy Junkies Lament (Acoustic Live),Somebody Had To Write It,2020,0.597,0.0495,0.18,-17.293,0.139,0.316,0.912,3.04e-4,E major,126.328,4,215106
Townes Van Zandt,Brand New Companion (Acoustic Live),Somebody Had To Write It,2020,0.574,0.0391,0.175,-15.634,0.131,0.239,0.843,0.016,B minor,103.267,3,288040
Townes Van Zandt,I'll Be Here In The Morning (Acoustic Live),Somebody Had To Write It,2020,0.547,0.0488,0.151,-15.943,0.111,0.415,0.905,0,C major,78.28,4,157866
Townes Van Zandt,All I Need,Sky Blue,2019,0.368,0.0301,0.36,-8.724,0.273,0.41,0.714,0.00445,E major,148.577,4,170346
Townes Van Zandt,Rex's Blues,Sky Blue,2019,0.639,0.0379,0.347,-9.025,0.103,0.396,0.958,0,E major,78.893,4,132893
Townes Van Zandt,The Hills of Roane County,Sky Blue,2019,0.49,0.0307,0.402,-8.025,0.128,0.512,0.941,1.64e-4,C major,134.125,5,230826
Townes Van Zandt,Sky Blue,Sky Blue,2019,0.492,0.0312,0.304,-9.986,0.142,0.436,0.924,0.00634,C major,79.708,4,151693
Townes Van Zandt,"Forever, For Always, For Certain",Sky Blue,2019,0.522,0.029,0.316,-8.965,0.135,0.474,0.989,0.0113,D major,127.905,3,145653
Townes Van Zandt,Blue Ridge Mtns. (Smoky Version),Sky Blue,2019,0.421,0.0286,0.564,-5.075,0.2,0.75,0.903,4.67e-4,D major,112.168,4,174933
Townes Van Zandt,Pancho & Lefty,Sky Blue,2019,0.531,0.0276,0.399,-7.374,0.173,0.357,0.949,0.00158,C# major,138.268,4,231666
Townes Van Zandt,Snake Song,Sky Blue,2019,0.365,0.0332,0.329,-6.355,0.169,0.541,0.948,2.33e-5,B minor,184.623,4,125813
Townes Van Zandt,Silver Ships of Andilar,Sky Blue,2019,0.442,0.031,0.476,-4.075,0.113,0.441,0.921,8.75e-6,C minor,73.418,3,327893
Townes Van Zandt,Dream Spider,Sky Blue,2019,0.428,0.0304,0.367,-8.508,0.121,0.483,0.929,6.29e-5,G major,95.283,3,115346
Townes Van Zandt,Last Thing on My Mind,Sky Blue,2019,0.441,0.028,0.483,-6.663,0.123,0.523,0.917,0.0174,G major,81.133,4,221680
Townes Van Zandt,All I Need,Sky Blue,2019,0.327,0.0311,0.36,-8.724,0.274,0.412,0.718,0.00491,E major,74.443,4,170346
Townes Van Zandt,Rex's Blues,Sky Blue,2019,0.629,0.0389,0.347,-9.004,0.101,0.395,0.958,0,E major,78.763,4,132893
Townes Van Zandt,The Hills of Roane County,Sky Blue,2019,0.493,0.0307,0.403,-8.023,0.128,0.51,0.943,1.68e-4,C major,134.103,5,230826
Townes Van Zandt,Sky Blue,Sky Blue,2019,0.502,0.031,0.304,-9.986,0.142,0.437,0.923,0.00571,C major,79.644,4,151693
Townes Van Zandt,"Forever, For Always, For Certain",Sky Blue,2019,0.522,0.029,0.317,-8.965,0.134,0.474,0.988,0.00904,D major,127.905,3,145653
Townes Van Zandt,Blue Ridge Mtns. - Smoke Version,Sky Blue,2019,0.422,0.0286,0.564,-5.074,0.216,0.758,0.902,4.76e-4,D major,112.169,4,174933
Townes Van Zandt,Pancho & Lefty,Sky Blue,2019,0.541,0.0275,0.4,-7.37,0.173,0.33,0.949,0.00182,C# major,138.268,4,231666
Townes Van Zandt,Snake Song,Sky Blue,2019,0.365,0.0332,0.328,-6.355,0.169,0.541,0.947,2.86e-5,B minor,184.741,4,125813
Townes Van Zandt,Silver Ships of Andilar,Sky Blue,2019,0.401,0.0317,0.474,-4.078,0.112,0.458,0.922,9.39e-6,C minor,146.74,3,327893
Townes Van Zandt,Dream Spider,Sky Blue,2019,0.478,0.0304,0.366,-8.508,0.121,0.468,0.93,4.76e-5,G major,93.621,3,115346
Townes Van Zandt,Last Thing on My Mind,Sky Blue,2019,0.43,0.028,0.483,-6.663,0.123,0.528,0.912,0.0143,G major,81.257,4,221680
Townes Van Zandt,"Intro - The Down Home: Johnson City, Tn. April 18 1985",Down Home and Abroad,2018,0.537,0.959,0.439,-20.28,0.391,0.235,0.704,8.18e-6,F# minor,191.352,4,57213
Townes Van Zandt,"Dollar Bill Blues - The Down Home: Johnson City, Tn. April 18 1985",Down Home and Abroad,2018,0.637,0.0865,0.47,-12.505,0.31,0.776,0.722,3.41e-4,B minor,115.916,4,172493
Townes Van Zandt,"Pancho and Lefty - The Down Home: Johnson City, Tn. April 18 1985",Down Home and Abroad,2018,0.49,0.363,0.38,-14.867,0.208,0.671,0.878,7.19e-5,D major,138.907,4,287866
Townes Van Zandt,"Buckskin Stallion Blues - The Down Home: Johnson City, Tn. April 18 1985",Down Home and Abroad,2018,0.649,0.0778,0.269,-17.989,0.149,0.624,0.923,0.00117,B major,115.324,4,212146
Townes Van Zandt,"No Place to Fall - The Down Home: Johnson City, Tn. April 18 1985",Down Home and Abroad,2018,0.598,0.194,0.244,-18.268,0.127,0.572,0.857,3.15e-4,E major,113.9,3,229306
Townes Van Zandt,"Talking Thunderbird Blues - The Down Home: Johnson City, Tn. April 18 1985",Down Home and Abroad,2018,0.641,0.727,0.222,-19.229,0.403,0.801,0.918,0.00203,E major,103.267,3,147986
Townes Van Zandt,"Mr Gold and Mr Mud - The Down Home: Johnson City, Tn. April 18 1985",Down Home and Abroad,2018,0.645,0.451,0.391,-13.885,0.149,0.711,0.89,0.00673,E minor,103.362,4,178760
Townes Van Zandt,"If I Needed You - The Down Home: Johnson City, Tn. April 18 1985",Down Home and Abroad,2018,0.418,0.503,0.379,-15.196,0.309,0.731,0.852,0.00563,C major,164.494,3,268786
Townes Van Zandt,"Snowing on Raton - The Down Home: Johnson City, Tn. April 18 1985",Down Home and Abroad,2018,0.583,0.114,0.382,-14.611,0.192,0.662,0.911,0.0143,E major,78.237,4,264120
Townes Van Zandt,"To Live is to Fly - The Down Home: Johnson City, Tn. April 18 1985",Down Home and Abroad,2018,0.589,0.506,0.396,-14.673,0.296,0.649,0.845,3.87e-4,D major,72.409,3,236933
Townes Van Zandt,"Don't You Take It Too Bad - The Down Home: Johnson City, Tn. April 18 1985",Down Home and Abroad,2018,0.551,0.0966,0.281,-14.809,0.295,0.614,0.831,0.02,C major,113.008,3,255906
Townes Van Zandt,"Snake Mountain Blues - The Down Home: Johnson City, Tn. April 18 1985",Down Home and Abroad,2018,0.491,0.339,0.439,-12.713,0.116,0.693,0.843,0.00225,E minor,112.469,4,224960
Townes Van Zandt,"Rake - The Down Home: Johnson City, Tn. April 18 1985",Down Home and Abroad,2018,0.522,0.184,0.2,-16.095,0.481,0.494,0.91,8.73e-5,C major,141.42,3,282493
Townes Van Zandt,"Fraternity Blues - The Down Home: Johnson City, Tn. April 18 1985",Down Home and Abroad,2018,0.614,0.7,0.277,-18.126,0.224,0.902,0.795,4.77e-4,C major,113.772,4,169413
Townes Van Zandt,"Colorado Girl/Just Like Tom Thumb - The Down Home: Johnson City, Tn. April 18 1985",Down Home and Abroad,2018,0.515,0.0535,0.262,-14.642,0.687,0.382,0.88,2.1e-4,E major,77.649,4,476493
Townes Van Zandt,"Dollar Bill Blues - The Tavastia: Helsinki, Finland, June 18th 1993",Down Home and Abroad,2018,0.554,0.0802,0.605,-10.53,0.126,0.529,0.799,1.89e-5,B minor,101.985,3,196240
Townes Van Zandt,"Pancho and Lefty - The Tavastia: Helsinki, Finland, June 18th 1993",Down Home and Abroad,2018,0.476,0.09,0.49,-10.31,0.754,0.398,0.817,0,B minor,139.829,4,261653
Townes Van Zandt,"Brand New Companion - The Tavastia: Helsinki, Finland, June 18th 1993",Down Home and Abroad,2018,0.575,0.0482,0.329,-11.065,0.254,0.33,0.836,9.25e-5,A major,108.6,4,321426
Townes Van Zandt,"Two Girls - The Tavastia: Helsinki, Finland, June 18th 1993",Down Home and Abroad,2018,0.544,0.0893,0.436,-11.13,0.75,0.394,0.859,0,D major,133.808,4,241853
Townes Van Zandt,"Lungs - The Tavastia: Helsinki, Finland, June 18th 1993",Down Home and Abroad,2018,0.447,0.845,0.616,-13.367,0.618,0.355,0.832,7.11e-6,A minor,97.535,3,91186
Townes Van Zandt,"Rex's Blues - The Tavastia: Helsinki, Finland, June 18th 1993",Down Home and Abroad,2018,0.556,0.581,0.373,-13.578,0.468,0.166,0.863,0,G# major,137.146,4,498293
Townes Van Zandt,"Nothin' - The Tavastia: Helsinki, Finland, June 18th 1993",Down Home and Abroad,2018,0.532,0.0613,0.411,-11.565,0.686,0.482,0.869,8.28e-5,C# major,139.091,4,223586
Townes Van Zandt,"The Ribbons of Love - The Tavastia: Helsinki, Finland, June 18th 1993",Down Home and Abroad,2018,0.528,0.0809,0.281,-13.107,0.49,0.196,0.892,0,A# minor,127.149,3,263106
Townes Van Zandt,"Kathleen - The Tavastia: Helsinki, Finland, June 18th 1993",Down Home and Abroad,2018,0.562,0.658,0.359,-14.115,0.554,0.168,0.867,0,F minor,99.32,4,458760
Townes Van Zandt,"The Cuckoo - The Tavastia: Helsinki, Finland, June 18th 1993",Down Home and Abroad,2018,0.5,0.094,0.557,-11.91,0.687,0.598,0.864,0.00107,C# minor,97.091,4,306040
